A1I,A2I,A3I,B1I,B2I,B3I,C1I,C2I,C3I,A1N,A2N,A3N,B1N,B2N,B3N,C1N,C2N,C3N
6932,5988,7535,5368,7898,8906,5099,5500,7853,7678,6480,6197,8025,9109,8690,5925,4829,7076
271,174,216,122,110,251,199,157,165,282,223,184,295,289,265,162,167,290
6737,6025,7556,5140,7748,8545,5203,5746,7968,7812,6452,6168,7908,9095,8510,6047,4959,7230
239,146,202,116,128,174,189,159,188,305,200,183,278,313,296,184,197,299
6599,5863,7544,4798,8312,8628,5407,5634,7913,7727,6542,6181,8094,9108,8841,5777,5046,7180
265,161,250,129,134,154,183,164,213,276,200,170,297,281,251,207,169,335
6603,5919,7786,4981,8746,8566,5041,5793,7974,7817,6363,6578,8138,9169,8986,5941,5119,7294
237,134,253,106,120,169,168,155,170,236,206,188,229,272,247,192,161,294
6544,5804,7512,4978,8516,8605,5288,5521,8024,7559,6102,6088,8117,9222,8583,5599,5103,6874
272,168,219,113,138,245,167,151,181,268,222,182,267,251,238,183,186,315
6632,5711,7867,4652,8664,8611,5211,5647,7953,7665,6194,6130,8124,8918,8549,5683,4801,6853
230,155,222,112,120,255,156,163,198,303,213,171,275,301,244,197,164,275
6677,5624,7451,4815,8353,8727,5265,5936,8013,7882,6290,6185,7833,9122,8432,5841,4964,6965
257,151,267,121,109,236,211,157,200,246,219,197,287,296,270,177,162,305
6821,5641,7683,4808,8215,8715,5400,5770,7935,7492,6301,5953,7636,8942,8356,5789,4922,6894
257,157,233,106,110,249,169,179,186,208,202,167,261,282,254,163,199,265
6477,5770,7583,4525,8490,8519,5368,5916,7708,7647,6519,6067,7967,9285,8625,5634,4785,6682
184,156,208,129,107,229,172,154,167,241,215,180,427,299,230,181,144,269
